tweet,label_kenaikanbbm,label_kesehatanAPBN,label_omnibus_law,label_kenaikanppn,label_pemerintah
"#BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran
  
  DUKUNG KENAIKAN BBM UNTUK INDONESIA LEBIH BAIK",1.0,1.0,0.5,0.5,1.0
"Sehabis Salat Jumat, Ribuan Mahasiswa Kembali Demo Menolak Kenaikan Harga BBM sekitar Istana, Patung Kuda, Jakarta https://konfrontasi.com/2022/09/sehabis-salat-jumat-ribuan-mahasiswa.htmlÃ¢â‚¬Â¦ 
  @RamliRizal",0.0,0.0,0.5,0.5,0.0
"Instruksi Dewan Pimpinan Pusat Konfederasi Serikat Pekerja Seluruh Indonesia (DPP K-SPSI) untuk melaksanakan Aksi Nasional 10 Oktober 2022 menuntut Pencabutan UU No. 11 Tahun 2020 tentang Cipta Kerja, Pembatalan Kenaikan Harga BBM dan Hentikan Pembahasan RUU KUHP di Istana Negara",0.0,0.5,0.0,0.5,0.0
"Full!! 
  Masyarakat di kampung justru tidak mempermasalahkan kenaikan BBM. Mereka sudah paham kondisi ekonomi dunia dan tidak stabilnya harga minyak dunia. 
  Mereka yang demo tidak mewakili siapapun kecuali diri mereka sendiri, keluarga dan kepentingan politik kelompok nya.",1.0,1.0,0.5,0.5,1.0
Ya Allah merinding bacanya. Tragedi Kanjuruhan ini diduga karna gas air mata yg dilepaskan membabi buta ke tribun penonton. Gila ini polisi! Mereka pikir suporter bola lg demo kenaikan BBM apa? Musuh anti NKRI yg harus diperangi. Sinting!!,0.5,0.5,0.5,0.5,0.5
"Gimana perekonomian hari ini???
  Kayanya dampak kenaikan harga BBM begitu berasa saat ini...
  Hampir 80% warung bilang minggu ini lagi sepi bang
  Padahal ini tanggal muda...
  Entahlah hanya rakyat kecil yg merasakan, pejabat sekarang mana peduli, masih lama ajah sibuk cupras capres",0.0,0.0,0.5,0.5,0.0
"AKSI BELA RAKYAT 3
  Bersama GNPR
  (Gerakan Nasional Pembela Rakyat)
  
  Senin, 10 Oktober 2022
  Pukul : 13.00 WIB S/d Selesai
  Lokasi : Patung Kuda
  
  TRITURA
  ( Tiga Tuntutan Rakyat )
  1.Tolak Kenaikan Harga BBM
  2.Turunkan Harga Harga
  3.Tegakkan Supremasi Hukum",0.0,0.0,0.5,0.5,0.0
"Jangan jadi provokator lu.
  Kenaikan bbm itu akibat pengalihan sebagian subsidi. Yang direalokasikan utk rakyat yg membutuhkan agar tepat sasaran
  #RealokasiSubsidiBBM",1.0,0.5,0.5,0.5,1.0
"LANJUT Demo kenaikan harga BBM
  20 Oktober,Peringatan 3 tahun Jokowi-Ma'ruf
  Pak Presidenku 
  @jokowi
  di TUNGGU para Mahasiswa di SIDANG RAKYAT
  ULTIMATUM
  Abdul Kholid Koordinator 
  @BEM_SI
  Kerakyatan
  
  Titip PESAN
  tambahin TUNTUTANnya HAPUS Ambang Batas Capres 20 % 
  SALAM NOL PERSEN",0.0,0.5,0.5,0.5,0.0
"Manfaat BLT BBM ringankan masyarakat dr gejolak kenaikan hrga global.
  Ini cara pemerintah memberikan terobosan kpd masyarakat dgn kondisi ekonomi yg tdk menentu dgn cara memberikan kompensasi brupa BLT BBM.
  Pertamina Terbaik dan Pelayanan Pertamina Luar Biasa",1.0,0.5,0.5,0.5,1.0
"Aksi bersama Gerakan Nasional Pembela Rakyat (GNPR) di kawasan Patung Kuda Jakarta.. (10/Okt/2022)
  
  Dengan Tuntutan:
  Ã¢â‚¬Â¢Tolak Kenaikan Harga BBM
  Ã¢â‚¬Â¢Turunkan Harga-Harga
  Ã¢â‚¬Â¢Tegakkan Supremasi Hukum",0.0,0.0,0.5,0.5,0.0
#SubsidiTepatSasaran #KenaikanBBM #HargaBBMNaik #BLTBBM,1.0,0.5,0.5,0.5,1.0
"Jangan slah paham memaknai kenaikan harga BBM Subsidi!
  Pemerintah menaikan hrga BBM krna berupaya mengendalikan pembatasan kuota, volume serta konsumen dr BBM bersubsidi tersebut.
  Dan BBM subsidi tdk dicabut, melainkan direalokasikan.
  #RealokasiSubsidiBBM",1.0,0.5,0.5,0.5,1.0
"Kalimat ""kenaikan harga BBM adalah keputusan sulit"" lebih bermakna sebagai kibaran bendera putih, serta mengarah pada ketidakmampuan & kegagalannya dalam mengelola negara
  
  #UsutPejabatKorup
  #UsutPejabatKorup",0.0,0.0,0.5,0.5,0.0
"Ombudsman RI menyampaikan potensi maladministrasi menyikapi kondisi pasca kenaikan harga BBM bersubsidi jenis pertalite dan solar serta belum direvisinya Perpres No 191/2014 Tentang Penyediaan Pendistribusian dan Harga Jual Eceran BBM.
  
  #RealokasiSubsidiBBM",0.0,0.5,0.5,0.5,0.0
"SERUAN ALL OUT AKBAR 
  AKSI BELA RAKYAT 3
  Bersama GNPR
  ( Gerakan Nasional Pembela Rakyat) 
  
  TRITURA
  ( Tiga Tuntutan Rakyat )
  1.Tolak Kenaikan Harga BBM
  2.Turunkan Harga Harga
  3.Tegakkan Supremasi Hukum
  
  Korlap : Buya Husein",0.0,0.0,0.5,0.5,0.0
"Keputusan Presiden Joko Widodo atau Jokowi memberikan bantuan langsung tunai (BLT) kepada masyarakat dinilai sebagai langkah yang tepat. 
  
  Terutama untuk menopang ekonomi masyarakat terdampak kenaikan harga Bahan Bakar Minyak (BBM).",1.0,0.5,0.5,0.5,1.0
"Kalian ini ngapain ???? Ribut gak karuan
  Hidup sudah berjalan dengan normal pasca kenaikan BBM. Semua ingin tenang cari duit untuk kebutuhan hidup. kalian hanya bikin gaduh dan macet",1.0,0.5,0.5,0.5,1.0
"Berkat program bansos Presiden Jokowi, semua kegelisahan masyarakat tentang harga BBM naik terjawab sudah. Karena langkah tersebut dilakukan guna membantu masyarakat yang terdampak dari kenaikan harga-harga secara global.
  
  Narasi Korban Menpora
  #JokowiPresidenku 
  #JokowiHebat",1.0,1.0,0.5,0.5,1.0
"Ayo bersama dukung kenaikan harga BBM. Subsidi BBM untuk sektor yg tepat
  Daerah Istimewa Yogyakarta
  Harga BBM Yogyakarta
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran",1.0,0.5,0.5,0.5,1.0
"Kok demo kenaikan harga BBM sekarang gak ada chaos2 nya lagi ya,
  Apa karena sambo sudah tdk menjabat dan kena kasus kali ya,
  Krn gak ada lagi otak rovokator nya gitu kali ya,
  Jadi gak ada lagi aparat2 yg menyerang massa yg demo dg membabi buta.???",0.5,0.5,0.5,0.5,0.5
"jejak digital nya
  takut takutin in yang mau demo kenaikan BBM",0.5,0.5,0.5,0.5,0.5
"Demo di patung kuda 30 september 2022, tolak kenaikan harga bbm, turunkan harga pangan, jokowi mundur, demo mahasiswa ini tidak diliput media TV 
  
  Mahasiswa Indonesia lawan Oligarki
  
  Mahasiswa barat, eropa dan Australia lawan elite global 
  
  Sama-sama tidak diliput media TV",0.0,0.5,0.5,0.5,0.0
"Berpikir Cerdas!! Faisal Basri Dukung kenaikan harga BBM bersubsidi
  
  Lampung
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran",1.0,0.5,0.5,0.5,1.0
"Mati matian menolak kenaikan harga BBM.
  Demo Istana
  Demo DPR Semua di caci maki
  
  Pas bewok ngomong KITA
  KITA KITA.
  EH didukung .
  Gw mah nonton ajalah",0.0,0.5,0.5,0.5,0.0
"Viral! Pasca Dukung Anies Netizen, Netizen Ini Provokasi Untuk Tenggelamkan NasDem, Lambe Waras : Kagak Bakalan Ngefek, Kekuatan Cebong Sudah Akan Punah Karena Lapar dan Dompet Kosong dikuras Harga BBM dan Segala Kenaikan Harga2.",0.0,0.5,0.5,0.5,0.0
"Seruan Aksi Nasional
  Tuntutan:
  - Batalkan Kenaikan Harga BBM
  - Batalkan OMNIBUSLAW UU Cipta Kerja
  - Naikan Upah 2023 Sebesar 13%
  Pukul : 10:00 WIB
  Lokasi : Istana Negara
  
  #batalkankenaikanbbm #batalkanomnibuslaw #naikanupah13%",0.0,0.0,0.0,0.5,0.0
"Ciee yang mau ngajak buruh liburan tahun baru plus memberi waktu bagi pemerintah merampok uang rakyat dari kenaikan harga BBM.
  
  Kalau serius mau mogok ya Oktober atau paling telat Awal November, Kalau Mogok Akhir Tahun, Ya Perusahan Sudah Pada Tutup Buku Sambil Family Gatring.",0.0,0.5,0.5,0.5,0.5
"tuntutan #Aksiburuh121022 
  1. Tolak kenaikan harga BBM.
  2. Tolak omnibus law uu cipta kerja.
  3. Naikkan UMK tahun 2023 sebesar 13%.
  4. Tolak PHK besar besaran di tengah ancaman resesi global.
  5. Reforma agraria.
  6. Sahkan RUU PPRT.
  7. Usut Tuntas Tragedi Kanjuruhan",0.0,0.0,0.0,0.5,0.0
"Seruan Akbar Aksi Bela Rakyat pada tanggal 10 Oktober 2022 di Area Patung Kuda Jakarta !""
  
  Dengan Tuntutan:
  1.Tolak kenaikan harga BBM,
  2.Turunkan harga-harga,
  3.Tegakkan supremasi Hukum dll 
  
  Jangan lupa Putihkan Area patung Kuda ManTeman...!!!!!!",0.0,0.0,0.5,0.5,0.0
Pengalihan isu kenaikan BBM... Oleh sumsum pret,0.5,0.5,0.5,0.5,0.5
"Inflasi Meningkat Pasca Kenaikan Harga BBM, PKS Mendesak Pemerintah Segera Stabilkan Kondisi Perekonomian
  
  Simak data selengkapnya dalam infografik berikut.
  
  #fraksipksdprri 
  #BersamaMelayaniRakyat 
  #PKSPelayanRakyat",1.0,0.0,0.5,0.5,0.0
"Kebijakan BLT BBM yang diberikan pemerintah diakui cukup membantu masyarakat terdampak kenaikan BBM, BLT BBM adalah upaya agar subsidi tepat sasaran pada masyarakat yg berhak dan APBN menjadi sehat.",1.0,1.0,0.5,0.5,1.0
"Program Bansos Jokowi Jawab Kegelisahan Masyarakat Imbas Kenaikan BBM.
  
  #PrayForKanjuruhan
  FIFA
  Nasdem
  PSSI
  Arema
  MARK BLONDE
  Polisi
  Mundur",1.0,0.5,0.5,0.5,1.0
"BLT BBM Upaya Pengalihan BBM Subsidi Agar Tepat Sasaran
  
  Pemerintah mulai menyalurkan BLT sebagai upaya melindungi daya beli masyarakat prasejahtera dalam menghadapi dampak kenaikan harga BBM.
  
  BBM Pertamina Dijamin Aman
  @pertamina
  #FaktaPertalite
  #SubsidiMilikRakyat",1.0,0.5,0.5,0.5,1.0
"Pemuda Papua dukung kenaikan harga BBM 
  Sumatera Utara
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran",1.0,0.5,0.5,0.5,1.0
Member mu terdampak kenaikan Harga Bbm ujung tombak perusahaan mu lae,0.5,0.5,0.5,0.5,0.0
"Jakarta 10 0ktober 2022
  Patung Kuda 
  
  Demo buruh hari ini dipatung kuda, demo tolak kenaikan harga bbm, turunkan tarif listrik, harga pangan, turunkan jokowi",0.0,0.0,0.5,0.5,0.0
Beberapa pekan terakhir kita disuguhkan sejumlah pemberitaan mengenai Pemutusan Hubungan Kerja (PHK). Bagi pekerja yang terkena PHK masih bisa menerima Bantuan Subsidi Upah (BSU) yang diberikan sebesar Rp 600ribu kepada pekerja sebagai bantalan kenaikan harga bahan bakar minyak (BBM).,0.5,0.5,0.5,0.5,0.5
"Faisal Basri Dukung Kenaikan Harga BBM. 
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran",1.0,0.5,0.5,0.5,1.0
"[KALIAN SEMUA DIUNDANG]
  Nobar dan diskusi film Angin Timur.
  
  Nelayan sangat terpukul oleh kenaikan harga BBM. Biaya produksi semakin tinggi, sementara penghasilan makin tak pasti. Film tersebut menggambarkan tentang nelayan dan hajat hidup para nelayan Indonesia.",0.5,0.5,0.5,0.5,0.5
"Pemuda Papua Dukung Kenaikan Harga BBM
  
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran
  
  Sulawesi Tenggara",1.0,0.5,0.5,0.5,1.0
"Pemerintah Lindungi Rakyat!!
  
  Bantuan Langsung Tunai (BLT) hingga BSU dapat melindungi masyarakat dari gejolak kenaikan harga global.
  
  BBM Pertamina Dijamin Aman
  #FaktaPertalite
  #SubsidiMilikRakyat
  @pertamina",1.0,0.5,0.5,0.5,1.0
"faisal basri dukung kenaikan harga BBM. aceh ikut dukung. #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran",1.0,0.5,0.5,0.5,1.0
"Kami memdukung kenaikan harga BBM
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran
  Sulawesi Utara",1.0,0.5,0.5,0.5,1.0
"Personel Sat Binmas Polres Tangsel Membagikan Paket Sembako Kepada Masyarakat Terdampak Kenaikan Harga BBM Seperti Pemulung, PKL, Ojol, Juru Parkir dan Petugas Kebersihan, Senin (3/10)
  
  Semoga Bermanfaat dan Dapat Sedikit Meringankan Untuk Memenuhi Kebutuhan Sehari Hari",1.0,0.5,0.5,0.5,1.0
"Jangan slah kaprah!
  Maksud dr kenaikan hrga BBM serta realokasi dana subsidi.
  Realokasi subsidi yg dimaksud adalah ketentuan baru bagi dana subsidi, hal tersebut dilakukan untuk menjaga ketepatan subsidi dan daya beli masyarakat miskin.
  BBM Pertamina Termurah dan Terhemat",1.0,0.5,0.5,0.5,1.0
"Update:
  AKSI BELA RAKYAT 3
  Bersama GNPR
  ( Gerakan Nasional Pembela Rakyat )
  
  Senin, 10 Oktober 2022
  Di Patung Kuda
  
  Tiga Tuntutan Rakyat;
  1 Tolak Kenaikan Harga BBM
  2 Turunkan Harga Harga
  3 Tegakkan Supremasi Hukum",0.0,0.0,0.5,0.5,0.0
"Semoga Dengan Adanya BLT BBM Ini Dapat Meringankan Masyarakat Yang Kurang Mampu Dari Gejolak Kenaikan Harga Global!!! Sumatera Selatan!! 
  #BLTBBMBantuMasyarakat
  #BansosBBMRingankanRakyat
  #KPMPenyaluranBLTTepatSasaran
  #SukseskanKebijakanPemerintah
  #SubsidiBerkeadilanUntukMasaDepan",1.0,0.5,0.5,0.5,1.0
"Pemerintah lindungi rakyat dari gejolak kenaikan harga global melalui BLT BBM hingga BSU.
  
  Pengalihan subsidi BBM untuk menciptakan keadilan penggunaan subsidi dan melindungi kelompok yang rentan.
  
  BBM Pertamina Dijamin Aman
  #FaktaPertalite
  #SubsidiMilikRakyat 
  @pertamina",1.0,0.5,0.5,0.5,1.0
"Tak usah lah kita ribut2 demo tolak kenaikan BBM, pemerintah melakukan penyesuaian harga BBM agar subsidi tepat sasaran untuk masyarakat kurang mampu.",1.0,0.5,0.5,0.5,1.0
"Ekonomi turun dan badai PHK mulai menerpa, rakyat masih di bebani kenaikan BBM yang amat berat dipikul rakyat.
  Revolusi rakyat mulai mulai bergerak semakin cepat.
  #KehancuranRIDidepanMata 
  #KehancuranRIDidepanMata",0.0,0.0,0.5,0.5,0.0
"Sejumlah Pemuda Papua Dukung Kenaikan BBM agar subsidi Tepat Sasaran. 
  
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran",1.0,0.5,0.5,0.5,1.0
"TIPU-TIPU MUKIDI
  
  Alasan Kenaikan BBM karena APBN Jebol Ternyata Dusta.
  Nyatanya, baru dirilis 26/9 kemarin APBN pada Agustus 2022 dinyatakan surplus sebesar Rp107,4 triliun.",1.0,1.0,0.5,0.5,1.0
"Lagi, kebijakan raja tega! Sudahlah rakyat pusing dengan kenaikan BBM dan sembako. Sekarang tarif tol pun diwacanakan naik. Demo di mana-mana, pemerintah bergeming, justru titah IMF untuk mengurangi subsidi yang dijalankan.
  
  #KomentarRedaksi",0.0,0.0,0.5,0.5,0.0
"ya inimah untuk sekalian meredam kenaikan harga bbm, kenaikan listrik, kenaikan pangan dll yg pasti akan ada demo, semua sudah disiapkan",0.5,0.5,0.5,0.5,0.5
"Hari ini BPS akan mengumumkan data inflasi Indonesia bulan September. BI memperkirakan inflasi tahunan akan naik menjadi 5,88% dan inflasi bulanan sebesar 0,91% karena kenaikan BBM.",0.5,0.5,0.5,0.5,0.5
"PKS konsisten mendesak Pemerintah membatalkan kenaikan harga BBM bersubsidi
  
  || 
  @diah_nur
  
  
  #fraksipksdprri 
  #BersamaMelayaniRakyat 
  #PKStolakkenaikanBBM",0.0,0.5,0.5,0.5,0.0
"[Bangka Belitung] Tarif Trasportasi Publik Naik, Imbas Kenaikan BBM! |Blusukan Kru MMC
  
  Kalau harga BBM gak turun bisa dipastikan tarif transportasi juga naik. Kayak kapal cepat Express Bahari rute Belitung-Bangka yang udah mengalami kenaikan harga. 
  
  https://youtu.be/k72R7LWDaKk",0.0,0.5,0.5,0.5,0.0
"Alih Subsidi BBM berkeadilan bagi masyarakat yang kurang mampu.
  
  Pemerintah menyiapkan 3 bantalan sosial dalam meringankan beban masyarakat akibat kenaikan harga BBM.
  @pertamina
  
  #BBMPertaminaBerkeadilan",1.0,0.5,0.5,0.5,1.0
"Dengan adanya BLT BBM, masyarakat miskin dan rentan terlindungi dari krisis global
  
  Semoga bansos ini membantu meringkankan serta melindungi masyarakat rentan dan miskin dari tekanan gejolak kenaikan harga global sehingga angka kemiskinan Indonesia tetap kita upayakan menurun.",1.0,0.5,0.5,0.5,1.0
"Ya butuhlah. Kan gaji pak polisi sebagian berasal dari pajak yg dibayar mba Najwa. Lagi pula kalo make logika mahasiswa drop out kayak elu, kita ga boleh ngisi BBM dong krn kemaren mengkritik kenaikan harga BBM? Pantesan partai lu masuk zona degradasi melulu. Ketuanya koplak sih!",1.0,0.5,0.5,0.5,1.0
"TRITURA
  
  Dengan Tuntutan:
  Ã¢â‚¬Â¢Tolak Kenaikan Harga BBM
  Ã¢â‚¬Â¢Turunkan Harga-Harga
  Ã¢â‚¬Â¢Tegakkan Supremasi Hukum
  
  http://faktakini.info/2022/10/massa-gnpr-sholat-ghaib-di-patung-kuda.htmlÃ¢â‚¬Â¦
  
  #DukungTritura2022",0.0,0.0,0.5,0.5,0.0
Menteri Ketenagakerjaan (Menaker) Ida Fauziyah optimistis penyaluran Bantuan Subsidi Upah (BSU) 2022 bisa memenuhi target dan memberi manfaat bagi pekerja. Subsidi ini diharapkan mampu meringankan beban para pekerja yang terdampak kenaikan harga BBM serta kebutuhan pokok.,1.0,0.5,0.5,0.5,1.0
"Alasan Kenaikan BBM karena APBN Jebol Ternyata Dusta, blangnya rugi Kurang JAHAT gimana lagi coba Ternyata emang pen Meres rakyat sejadi jadinya
  
  https://kontenislam.com/2022/09/alasan-kenaikan-bbm-karena-apbn-jebol.html?m=1Ã¢â‚¬Â¦",0.0,1.0,0.5,0.5,0.0
Poster Jokowi Mundur di Aksi 10.10 Tolak Kenaikan BBM https://foto.tempo.co/read/100845/poster-jokowi-mundur-di-aksi-10-10-tolak-kenaikan-bbm?utm_source=Twitter&utm_medium=Digital%20Marketing&utm_campaign=dlvritÃ¢â‚¬Â¦ #TempoFoto,0.0,0.5,0.5,0.5,0.0
"Hai Sobwas Terdepan,
  
  Sebuah keniscayaan bahwa kenaikan harga bahan bakar minyak (BBM) juga diikuti dengan kenaikan harga kebutuhan pokok. Untuk meringankan beban masyarakat, Pemerintah memberikan program bantuan dalam bentuk Bantuan Langsung Tunai Bahan Bahan Minyak (BLT BBM)",1.0,0.5,0.5,0.5,1.0
"Waw, Ternyata di Tangan Jokowi Inflasi Terkendali Pasca Kenaikan Harga BBM!
  #ONEPIECE1063 
  Wira PT LIB
  yaudah biar aku
  #Blockbrainxsolardex
  #inflasi
  #kenaikanhargabbm",1.0,1.0,0.5,0.5,1.0
"Bagaimana dengan IKN, BBM, TDL, Gas Melon, Kenaikan harga-harga..?
  
  Membangun negara bukan sekedar orang tetapi juga sistem.
  
  Jangan sampai sibuk ganti orang tetapi sistemnya tetap sama dan merusak. Percuma...",0.0,0.0,0.5,0.5,0.0
"Wakil Ketua Komisi VII DPR RI, Maman Abdurrahman melihat ada masyarakat yang salah paham memaknai kenaikan harga BBM subsidi. Ia menegaskan tidak ada pencabutan subsidi setelah pemerintah menaikkan harga BBM
  @pertamina
  #BBMAdilUntukRakyat",1.0,0.5,0.5,0.5,1.0
"Apa hak rakyat yang konsisten diperjuangkan oleh 
  @niluhdjelantik
  ?
  UU Cilaka atau kenaikan BBM?
  
  #IjazahPalsuRajaNgibul 
  #IjazahPalsuRajaNgibul",0.0,0.5,0.5,0.5,0.0
"Penyaluran BLT BBM Demi Menyejahterakan Kelompok Terdampak
  #ImpressionNews #BLTBBMTepatSasaran #KenaikanBBM #KenaikanHargaPangan",1.0,0.5,0.5,0.5,1.0
"Horas Kota Medan Sumatera Utara, inilah 3 fakta kenaikan harga BBM #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran",1.0,0.5,0.5,0.5,1.0
"Warga berbelanja ikan laut segar di Pasar Pagi Arengka. Ikan laut segar yang berasal dari Provinsi tetangga ini mengalami kenaikan harga yang tidak terlalu tinggi, dampak kenaikan harga BBM, dari tingkat nelayan hinga pendistribusian ke Pekanbaru.
  
  #infoPKU #pasarpagiarengka",0.5,1.0,0.5,0.5,1.0
"Faisal basri dukung kenaikan harga bbm 
  
  #BBMSubsidi
  #BBMBersubsidi
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran
  #SemuaDemiKesejahteraan
  Jambi",1.0,0.5,0.5,0.5,1.0
"Zaman SBY Galak Tolak Kenaikan BBM, Era Jokowi PDIP 'Maklum' Pemerintah Lagi Susah",0.0,0.5,0.5,0.5,0.0
"Tokoh Jawa Barat mendukung penyesuaian BBM oleh pemerintah, karena untuk kebaikan bersama",1.0,0.5,0.5,0.5,1.0
Massa dari Berbagai Elemen Kembali Berunjuk Rasa Tolak Kenaikan Harga BBM di Patung Kuda,0.0,0.5,0.5,0.5,0.0
"Buat teman driver online food
  Sate Bejo badran ikut merasakan dampak kenaikan BBM, disaat yang serba sulit ini mari kita tetap semangat untuk masa depan kita semua.
  Oleh karena itu, sate bejo badran menyisihkan sedikit makanan+minuman pada setiap hari jumat secara",1.0,0.5,0.5,0.5,1.0
"Penyesuaian harga BBM untuk kebaikan Indonesia
  
  Warga Sumatera Selatan 
  
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran",1.0,0.5,0.5,0.5,1.0
"Jangan salah paham dgn kenaikan harga BBM Subsidi
  
  pemerintah berupaya mengendalikan kuota,volume dan konsumen dari BBM Subsidi tersebut
  
  #RealokasiSubsidiBBM",1.0,0.5,0.5,0.5,1.0
"@ganjarpranowo
  mengajak mahasiswa untuk mengawasi penyaluran bantuan langsung tunai (BLT) bahan bakar minyak (BBM). 
  
  Ganjar mempersilakan masyarakat menyampaikan kritik maupun masukan terhadap kenaikan harga BBM.
  #SahabatGanjar #Ganjar #ganjarpranowo",1.0,0.5,0.5,0.5,1.0
"Kami semua mendukung kenaikan harga BBM
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran
  Sulawesi Utara",1.0,0.5,0.5,0.5,1.0
"Aksi Nasional Batalkan Kenaikan Harga BBM, Batalkan OMNIBUSLAW UU Cipta Kerja dan Naikan Upah 2023 sebesar 13%
  
  12 Oktober 2022 di Istana Negara",0.0,0.0,0.0,0.5,0.0
Tokoh Jawa Barat mendukung penyesuaian harga BBM oleh pemerintah demi kebaikan bersama,1.0,0.5,0.5,0.5,0.0
"Dukung kenaikan harga BBM untuk indonesia yang lebih baik
  Daerah Istimewa Yogyakarta
  Harga BBM Yogyakarta
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran",1.0,0.5,0.5,0.5,1.0
"Pemerintah melalui Kemensos menyalurkan BLT BBM utk melindungi daya beli masyarakat pra sejahtera dalam menghadapi dampak kenaikan BBM 
  
  BBM Pertamina dijamin aman
  #FaktaPertalite",1.0,1.0,0.5,0.5,1.0
"BBM BERSUBSIDI
  .
  Saatnya membatalkan kenaikan harga BBM bersubsidi.
  .
  Harga Minyak Dunia Turun, Anggota DPR Desak Kenaikan Harga BBM Dibatalkan",0.0,0.5,0.5,0.5,0.0
