tweet,date,retweet,reply,like,name,username,,label_kenaikanbbm,label_kesehatanAPBN,label_omnibus_law,label_kenaikanppn,pemerintah
"Alasan Kenaikan BBM karena APBN Jebol Ternyata Dusta, blangnya rugi Kurang JAHAT gimana lagi coba Ternyata emang pen Meres rakyat sejadi jadinya
  
  https://kontenislam.com/2022/09/alasan-kenaikan-bbm-karena-apbn-jebol.html?m=1Ã¢â‚¬Â¦",30-Sep-22,4,1,7,NN,@Anna82662230,,0,1,0.5,0.5,0
Poster Jokowi Mundur di Aksi 10.10 Tolak Kenaikan BBM https://foto.tempo.co/read/100845/poster-jokowi-mundur-di-aksi-10-10-tolak-kenaikan-bbm?utm_source=Twitter&utm_medium=Digital%20Marketing&utm_campaign=dlvritÃ¢â‚¬Â¦ #TempoFoto,10-Oct-22,3,5,15,tempo.co,@tempodotco,,0,0.5,0.5,0.5,0
"Hai Sobwas Terdepan,
  
  Sebuah keniscayaan bahwa kenaikan harga bahan bakar minyak (BBM) juga diikuti dengan kenaikan harga kebutuhan pokok. Untuk meringankan beban masyarakat, Pemerintah memberikan program bantuan dalam bentuk Bantuan Langsung Tunai Bahan Bahan Minyak (BLT BBM)",3-Oct-22,1,1,2,BPKP NTB,@NtbBpkp,,1,0.5,0.5,0.5,1
"Waw, Ternyata di Tangan Jokowi Inflasi Terkendali Pasca Kenaikan Harga BBM!
  #ONEPIECE1063 
  Wira PT LIB
  yaudah biar aku
  #Blockbrainxsolardex
  #inflasi
  #kenaikanhargabbm",12-Oct-22,1,1,6,Rakyat Voice,@rakyatvoicee,,1,1,0.5,0.5,1
"Bagaimana dengan IKN, BBM, TDL, Gas Melon, Kenaikan harga-harga..?
  
  Membangun negara bukan sekedar orang tetapi juga sistem.
  
  Jangan sampai sibuk ganti orang tetapi sistemnya tetap sama dan merusak. Percuma...",3-Oct-22,34,2,89,Agung Wisnuwardana,@MasAgungWisnu,,0,0,0.5,0.5,0
"Wakil Ketua Komisi VII DPR RI, Maman Abdurrahman melihat ada masyarakat yang salah paham memaknai kenaikan harga BBM subsidi. Ia menegaskan tidak ada pencabutan subsidi setelah pemerintah menaikkan harga BBM
  @pertamina
  #BBMAdilUntukRakyat",1-Oct-22,28,11,27,Ã°Ââ€œÂÃ°Ââ€œÂ·Ã°Ââ€œÂªÃ°Ââ€œÂ´ Ã°Ââ€œÅ¡Ã°Ââ€œÂ®Ã°Ââ€œÂ¼Ã°Ââ€œÂªÃ°Ââ€â€šÃ°Ââ€œÂªÃ°Ââ€œÂ·Ã°Ââ€œÂ°Ã°Ââ€œÂªÃ°Ââ€œÂ· Ã°Ââ€œËœÃ°Ââ€œÂ«Ã°Ââ€œÂ¾,@digifeeder,,1,0.5,0.5,0.5,1
"Apa hak rakyat yang konsisten diperjuangkan oleh 
  @niluhdjelantik
  ?
  UU Cilaka atau kenaikan BBM?
  
  #IjazahPalsuRajaNgibul 
  #IjazahPalsuRajaNgibul",5-Oct-22,5,1,6,Okterman Lkmn,@LkmnOkterman,,0,0.5,0.5,0.5,0
"Penyaluran BLT BBM Demi Menyejahterakan Kelompok Terdampak
  #ImpressionNews #BLTBBMTepatSasaran #KenaikanBBM #KenaikanHargaPangan",11-Oct-22,0,0,0,Davina G,@davinaaig,,1,0.5,0.5,0.5,1
"Horas Kota Medan Sumatera Utara, inilah 3 fakta kenaikan harga BBM #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran",5-Oct-22,0,1,1,suhendraratuconsina,@suhendraratuco1,,1,0.5,0.5,0.5,1
"Warga berbelanja ikan laut segar di Pasar Pagi Arengka. Ikan laut segar yang berasal dari Provinsi tetangga ini mengalami kenaikan harga yang tidak terlalu tinggi, dampak kenaikan harga BBM, dari tingkat nelayan hinga pendistribusian ke Pekanbaru.
  
  #infoPKU #pasarpagiarengka",4-Oct-22,3,0,7,Info Pekanbaru,@infoPKU,,0.5,1,0.5,0.5,1
"Faisal basri dukung kenaikan harga bbm 
  
  #BBMSubsidi
  #BBMBersubsidi
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran
  #SemuaDemiKesejahteraan
  Jambi",6-Oct-22,0,0,1,kharisma,@kharism79,,1,0.5,0.5,0.5,1
"Zaman SBY Galak Tolak Kenaikan BBM, Era Jokowi PDIP 'Maklum' Pemerintah Lagi Susah",3-Oct-22,6,0,4,LIPUTAN6,@liputan6dotcom,,0,0.5,0.5,0.5,0
"Tokoh Jawa Barat mendukung penyesuaian BBM oleh pemerintah, karena untuk kebaikan bersama",12-Oct-22,0,0,0,Aini Nurani,@AiniNurani2,,1,0.5,0.5,0.5,1
Massa dari Berbagai Elemen Kembali Berunjuk Rasa Tolak Kenaikan Harga BBM di Patung Kuda,10-Oct-22,63,4,278,GELORA NEWS,@geloraco,,0,0.5,0.5,0.5,0
"Buat teman driver online food
  Sate Bejo badran ikut merasakan dampak kenaikan BBM, disaat yang serba sulit ini mari kita tetap semangat untuk masa depan kita semua.
  Oleh karena itu, sate bejo badran menyisihkan sedikit makanan+minuman pada setiap hari jumat secara",30-Sep-22,4,1,5,UMSfess,@MahasiswaUMS,,1,0.5,0.5,0.5,1
"Penyesuaian harga BBM untuk kebaikan Indonesia
  
  Warga Sumatera Selatan 
  
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran",4-Oct-22,3,0,2,Saudaramerah,@saudaramerah,,1,0.5,0.5,0.5,1
"Jangan salah paham dgn kenaikan harga BBM Subsidi
  
  pemerintah berupaya mengendalikan kuota,volume dan konsumen dari BBM Subsidi tersebut
  
  #RealokasiSubsidiBBM",30-Sep-22,31,12,42,Marteg,@LekMarteg,,1,0.5,0.5,0.5,1
"@ganjarpranowo
  mengajak mahasiswa untuk mengawasi penyaluran bantuan langsung tunai (BLT) bahan bakar minyak (BBM). 
  
  Ganjar mempersilakan masyarakat menyampaikan kritik maupun masukan terhadap kenaikan harga BBM.
  #SahabatGanjar #Ganjar #ganjarpranowo",30-Sep-22,6,1,11,Ary Prasetyo,@Aryprasetyo85,,1,0.5,0.5,0.5,1
"Kami semua mendukung kenaikan harga BBM
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran
  Sulawesi Utara",5-Oct-22,0,0,0,Kang Erwin,@KangErwin16,,1,0.5,0.5,0.5,1
"Aksi Nasional Batalkan Kenaikan Harga BBM, Batalkan OMNIBUSLAW UU Cipta Kerja dan Naikan Upah 2023 sebesar 13%
  
  12 Oktober 2022 di Istana Negara",10-Oct-22,41,1,89,ASPEK Indonesia,@Aspek_Indonesia,,0,0,0,0.5,0
Tokoh Jawa Barat mendukung penyesuaian harga BBM oleh pemerintah demi kebaikan bersama,6-Oct-22,0,0,0,Aini Nurani,@AiniNurani2,,1,0.5,0.5,0.5,0
"Dukung kenaikan harga BBM untuk indonesia yang lebih baik
  Daerah Istimewa Yogyakarta
  Harga BBM Yogyakarta
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran",4-Oct-22,2,0,2,Barb Brown,@BarbBroBro,,1,0.5,0.5,0.5,1
"Pemerintah melalui Kemensos menyalurkan BLT BBM utk melindungi daya beli masyarakat pra sejahtera dalam menghadapi dampak kenaikan BBM 
  
  BBM Pertamina dijamin aman
  #FaktaPertalite",12-Oct-22,27,14,33,Marteg,@LekMarteg,,1,1,0.5,0.5,1
"BBM BERSUBSIDI
  .
  Saatnya membatalkan kenaikan harga BBM bersubsidi.
  .
  Harga Minyak Dunia Turun, Anggota DPR Desak Kenaikan Harga BBM Dibatalkan",3-Oct-22,19,1,45,Mulyanto,@pakmul63,,0,0.5,0.5,0.5,0
"Indonesia Memanggil! 
  Rakyat Bergerak Melawan! 
  
  BBM naik Rakyat tercekik! 
  
  Siapkan dirimu semua
  Kawan Kawan
  untuk kembali turun ke jalan bersama secara serentak pada tanggal 20 Oktober 2022.
  Menolak Kenaikan BBM, TURUNKAN HARGA-HARGA, CABUT UU CIPTA KERJA dan Batalkan RKUHP.",12-Oct-22,0,0,1,Fino Marpino,@fino_marpino,,0,0,0,0.5,0
"Tapi nyusahin rakyat dengan kenaikan BBM jalan terus Aneh , besok bilang lagi ini eh lusa lain lagi",11-Oct-22,0,0,2,Iroha,@Iroha32490373,,0.5,0.5,0.5,0.5,0.5
Buruh Bakal Demo Tolak Kenaikan Harga BBM 12 Oktober,9-Oct-22,8,10,29,CNN Indonesia,@CNNIndonesia,,0,0.5,0.5,0.5,0
"#SobatRupiah, untuk menjaga momentum pemulihan ekonomi, BI melakukan pengendalian inflasi akibat kenaikan harga BBM dan inflasi kelompok pangan. Salah satunya, lewat sinergi & kolaborasi ""Gerakan Nasional Pengendalian Inflasi Pangan di wilayah Sulawesi, Maluku, & Papua (Sulampua)"".",1-Oct-22,31,1,67,Bank Indonesia,@bank_indonesia,,1,1,0.5,0.5,1
Data lama. Ahokers masih aja bela non pribumi. Emang dapat bagian berapa dari tiap liter kenaikan harga BBM Rakyat..?,30-Sep-22,1,1,8,EinSteiN,@asasfuro,,0,0.5,0.5,0.5,0
"Masyarakat mendapatkan dampak yg cukup besar dari kenaikan harga BBM, terutama masyarakat yg terdampak kenaikan BBM karena mata pencaharian warga banyak yg menggunakan kendaraan pribadi, karena membutuhkan BBM utk menjalankan transportasi mereka
  #SigapMengayomi
  Bakti Untuk Negeri",3-Oct-22,4,1,23,Humas Polda Jabar,@humaspoldajbr,,0,0.5,0.5,0.5,0
"Kynya baru-baru kali ya..? semenjak kenaikan BBM 
  @pertamina
  bermasalah..?",7-Oct-22,0,0,1,NetaNyahudiZionT'ris,@NetaTris,,0,0.5,0.5,0.5,0
"Faisal Basri dukung kenaikan harga BBM
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran
  -Jawa Tengah-",5-Oct-22,0,0,0,angel,@Pablo11Abigail,,1,0.5,0.5,0.5,1
"pemuda papua dukung kenaikan harga BBM
  
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran",5-Oct-22,0,0,0,Fian Harto,@FianHarto,,1,0.5,0.5,0.5,1
"Bantuan langsung tunai solusi di tengah kenaikan harga BBM
  #BBMSubsidi
  #BBMBersubsidi
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran
  #SemuaDemiKesejahteraan",6-Oct-22,3,0,1,Intan Clara,@IntanClara20,,1,0.5,0.5,0.5,1
Dukung penyesuaian harga BBM untuk kebaikan masyarakat Jawa Timur mantap #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran,6-Oct-22,2,0,2,Morgan Berita,@Morgan_berita,,1,0.5,0.5,0.5,1
"Minggu, (02/10/2022) Unit Patroli Satuan Samapta Polres Klungkung melaksanakan patroli di Spbu Jalan Ngurah Rai Klungkung pantau situasi pasca kenaikan harga BBM.
  
  #polisiindonesia
  #polresklungkung 
  #sabhara_bali",2-Oct-22,0,0,2,Satsamapta Polres Klungkung,@SKlungkung,,0.5,0.5,0.5,0.5,0.5
"Kinerja APBN Kita salah satunya berfokus untuk mengurangi dampak kenaikan BBM melalui penyaluran BLT.
  
  Bantuan kepada masyarakat ini tentu tak lepas dari kontribusi Kawan Pajak melalui pembayaran pajak secara rutin.
  
  Terima kasih atas kontribusinya, Kawan Pajak",6-Oct-22,1,0,0,KPP Pratama Tapak Tuan,@pajaktapaktuan,,1,1,0.5,0.5,1
"KENAIKAN HARGA MERUPAKAN SALAH SATU OPSI UNTUK MEMASTIKAN KUOTA BBM SUBSIDI AMAN HINGGA AKHIR TAHUN,",10-Oct-22,0,0,0,Cintya putri,@Cintyaputri856,,1,0.5,0.5,0.5,1
"Soal kenaikan harga BBM jangan salah kaprah gengs. Subsidi bukan di cabut namun di realokasi agar subsidi BBM tepat kepada masyarakat kecil. Setuju bila penyesuaian ini untuk mewujudkan keadilan bagi masyarakat kecil.
  @pertamina
  #BBMPertaminaBerkeadilan",7-Oct-22,28,10,28,HVZ Sebastian,@hvezar,,1,0.5,0.5,0.5,0.5
"Layanan / aduan bantuan pemerintah di Jawa Tengah 
  @ganjarpranowo
  
  Lur... 
  Monggo dilaporkan jika ada penyimpangan bantuan pemerintah akibat kenaikan BBM",5-Oct-22,9,0,9,Eneng MIWON,@UalwaysBeMySide,,0.5,0.5,0.5,0.5,0.5
"Inflasi Indonesia September melonjak 1,17%. YOY Agt 5,95%
  Biasanya memang setelah pengumuman kenaikan harga BBM inflasi naik lumayan tajam",3-Oct-22,0,0,12,Desmond Wira,@desmondwira,,0.5,0.5,0.5,0.5,0.5
"Catat 10 Oktober 2022
  Kita Kumpul Bareng di Istana Presiden RI /Istana Negara Jakarta.
  
  Sehari saja kawan....
  Batalkan Kenaikan harga BBM
  Cabut OmnibusLaw Cipta Kerja
  STOP Bahas RKUHP.",1-Oct-22,3,0,4,Rudi HB.Daman,@RoedyHaBiDa,,0,0.5,0,0.5,0
Gak salah nih ? Di tegah kesulitan ekonomi yg makin menekan akibat kenaikan bbm & tragedi kemanusiaan di kanjuruhan.,5-Oct-22,1,3,2,Ã‘â€šÃÂ½Ã‘â€˜ Ã‘ÂÃÂµsÃ…Å¸Ã…Å¸Ã…Å¸Ã‘â€šÃÂ°,@50B_TAC,,0,0.5,0.5,0.5,0
"Kok bisa demo Tolak kenaikan BBM bela orang kaya, ini logika macam apa? Justru dengan menaikkan BBM ini segelintir kapitalis menari-nari di atas penderitaan rakyat.
  
  Astaghfirullah.",30-Sep-22,8,3,17,Ika Mawar in heartÃ¢â‚¬Â,@ikamawar_,,0,0.5,0.5,0.5,0
"Terkait Demo Tolak Kenaikan Harga BBM, Pemerintahan Jokowi Berpotensi Melakukan Penghianatan Terhadap Rakyat",6-Oct-22,33,0,48,My Putun,@myputun,,0,0.5,0.5,0.5,0
"Kucuran dana ini diharapkan akan membuat pengguna angkutan umum tidak merasakan dampak kenaikan BBM. 
  
  Rakyat Indonesia harus melanjutkan kerja Anies di Presiden RI 2024.
  #AniesPresidenRI2024 
  yukss bisa yukss",9-Oct-22,4,0,15,damai Indonesiaku,@conan_idn,,1,0.5,0.5,0.5,1
"Menteri Ketenagakerjaan optimistis penyaluran bantuan subsidi upah (BSU) tahun ini bisa memenuhi target dan memberi manfaat bagi pekerja.
  Selain itu,diharapkan juga mampu meringankan beban para pekerja yang terdampak kenaikan harga bahan bakar minyak (BBM) serta kebutuhan pokok.",3-Oct-22,0,0,2,Ã¡Â´ÂÃ‰ÂªÃ¡Â´â€¹Ã¡Â´â€¡Ã¡Â´â‚¬Ã¡Â´â€¦Ã¡Â´â‚¬Ã¡Â´ÂÃŠÅ“Ã¡Â´â‚¬ÃŠÅ¸Ã‰ÂªÃ¡Â´â€¹,@2Mikeadamhalik,,1,0.5,0.5,0.5,0
"Tokoh Jawa Barat mendukung penyesuaian harga BBM, demi kebaikan bersama",7-Oct-22,0,0,0,Aini Nurani,@AiniNurani2,,1,0.5,0.5,0.5,1
"Buruh akan demo serentak dengan membawa enam tuntutan di Istana Negara, dari tolak kenaikan harga BBM hingga pengesahan RUU PRT. #TempoMetro",12-Oct-22,10,1,15,tempo.co,@tempodotco,,0,0.5,0.5,0.5,0
Polisi Tutup Jalan Medan Merdeka Barat saat Massa Buruh Geruduk Istana Tolak Kenaikan BBM,12-Oct-22,9,1,26,GELORA NEWS,@geloraco,,0,0.5,0.5,0.5,0
"Jika kalian mempunyai keluhan, aduan maupun informasi penyimpangan bantuan Pemerintah akibat kenaikan BBM di Jawa Tengah, 
  Hubungi hotline :
  Untuk aduan BLT : 085158668448
  Untuk aduan BSU : 089652933444
  informasi BBM : 135
  
  Ayoo kita kawal bersama penyalurannya agar tepat sasaran",4-Oct-22,7,1,8,Kominfo Jateng,@kominfo_jtg,,1,0.5,0.5,0.5,1
"Kenyataan pahit di era Jokowi. 
  Mau bilang apa, jika begitu kenyataannya. Belum lagi dampak kenaikan harga BBM. Inflasi melonjak. Hrg bahan pokok jg pasti naik. Konsekuensinya, daya beli masyarakat menurun.
  Ã¢â‚¬â€
  RI Masuk 100 Negara Paling Miskin di Dunia",30-Sep-22,19,10,64,Yan A. Harahap (Ã°ÂÂËœ Ã°ÂÂâ‚¬ Ã°ÂÂâ€¡),@YanHarahap,,0,0,0.5,0.5,0
"Demo menolak kenaikan BBM berjilid jilid hanya membuang buang waktu dan energi.
  Ayo berinovasi dan beralih ke energi alternatif. 
  Mahasiswa seharusnya memberikan inovasi bukan hanya penonton apalagi menjadi boneka bagi kepentingan sekelompok dalam gerakan politisi.",9-Oct-22,21,3,28,Loli,@Anggita_lung,,1,0.5,0.5,0.5,1
"Setuju sekali lakukan penelitian pak
  Paska kenaikan harga BBM Pertamina jenis Pertalite menjadi Rp 10.000 per liter, belakangan banyak masyarakat mengeluhkan Pertalite yang sekarang dirasa lebih boros dibanding sebelum kenaikan.
  https://portal-islam.id/2022/10/doktor-nuklir-dr-mulyanto-dari-fraksi.htmlÃ¢â‚¬Â¦",1-Oct-22,1,0,3,CAK Deeep 22,@TukangRumput_,,0,0.5,0.5,0.5,0
"Pemuda Papua dukung kenaikan harga BBM
  
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran",5-Oct-22,0,0,0,Cacaaa,@Cacaaa82324482,,1,0.5,0.5,0.5,1
"Dukung Kenaikan Harga BBM
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran
  Sulawesi Utara",5-Oct-22,0,0,0,GrabManado,@GrabManado22,,1,0.5,0.5,0.5,1
"Breaking News
  Longmarch Aliansi Aksi Sejuta Buruh dipimpin 
  @jumhurhidayat
  /Ketum KSPSI
  Di mulai dari Serang ke Istana
  Bersatu Untuk Indonesia Tanpa Oligarki
  Menuntut;
  1.Tolak Kenaikan BBM
  2.Tolak Uu Omnibuslaw.
  3.Tolak RUUKUHP.
  4.Turunkan Harga harga",8-Oct-22,1,0,4,Sang Langit #WaspadaKomunis #WaspadaSyiah,@SangLangit01,,0,0,0,0.5,1
"Pemerintah merealokasi Subsidi BBM ke Bansos sebesar 24,17 Triliun, Bantuan sosial diberikan untuk membantu masyarakat tidak mampu karena kenaikan Harga BBM subsidi, BLT BBM akan diberikan utk menjaga daya beli masyarakat. 
  #BBMPertaminaBerkeadilan",7-Oct-22,27,0,27,Dayme,@aiyrinrv,,1,0.5,0.5,0.5,1
efek kenaikan bbm kerja sampingan,7-Oct-22,0,0,1,nyong manise,@akunkelima10,,0.5,0.5,0.5,0.5,0.5
"Patung Kuda 10 Oktober 2022
  Buruh Turun menuntut tolak kenaikan harga bbm, demo sempat terjadi dorong-dorongan dengan aparat kepolisian yang bertugas di patung kuda",11-Oct-22,11,4,83,Dina NataliaLee,@dinagustavsson,,0,0.5,0.5,0.5,0
"Uang Pajak untuk Masyarakat
  
  Penyaluran Bantuan Langsung Tunai kepada masyarakat merupakan wujud kontribusi #KawanPajak dalam menyokong masyraakat yang terdampak kenaikan harga BBM.
  
  Terima kasih #KawanPajak, kontribusi #KawanPajak melalui pajak telah turut membantu masyarakat.",6-Oct-22,0,0,1,KP2KP Pangkalan Balai,@pajakpklbalai,,1,0.5,0.5,0.5,1
Naiknya banyak turunnya dikit sebentar minyak mentah naik ke 100.. harga bbm naik lebih dari kenaikan awal..,1-Oct-22,5,7,4,Time'nDime,@delzitaz,,0,0.5,0.5,0.5,0
KSPI Tagih Komitmen Gubernur Jatim Untuk Menolak Kenaikan BBM dan Tolak Omnibuslaw,12-Oct-22,0,0,0,Andre Juliansyah,@andre_julian411,,0,0.5,0,0.5,0
"15.23 #LiputanSONORA -
  Mahasiswa dari berbagai BEM mulai mendatangi kawasan Patung Kuda Monas Jakpus. Aksi unjuk rasa dilakukan terkait beberapa hal seperti penolakan kenaikan harga BBM bersubsidi, kasus Munir dan Tolak RUU KUHP.
  @SaortuaMarbun",30-Sep-22,3,0,3,Radio Sonora Jakarta,@SonoraFM92,,0,0.5,0.5,0.5,0
"Penjualan Pertamax menurun drastis pasca kenaikan harga BBM awal bulan September.
  Konsumen Pertamax banyak yang beralih ke Shell atau Vivo. Makanya harga Pertamax diturunkan biar tidak kalah saing.",30-Sep-22,11,17,135,Indonesiaku,@doncharbone,,0.5,0.5,0.5,0.5,0.5
"Nah loh ternyata dusta belaka?
  
  Alasan Kenaikan BBM karena APBN Jebol Ternyata Dusta, Kemana Rakyat Mengadu?",30-Sep-22,5,0,10,aLy_benzema,@aLy_Bima,,0,0.5,0.5,0.5,1
"Diketahui bahwa subsidi BBM telah dialihkan ke BLT untuk mencegah adanya dampak sosial bagi kelompok rentan karena kenaikan BBM Subsidi.
  
  Sedangkan BSU bgi karyawan untuk menjaga daya beli ditengah kenaikan harga BBM. 
  
  #BBMPertaminaBerkeadilan",7-Oct-22,27,1,28,AMAY,@Amaygedeng,,1,0.5,0.5,0.5,1
Penyesuaian harga BBM untuk kebaikan masyarakat Jawa Timur mantap #BantuanBBMUntukRakyat #BLTBBMTepatSasaran #SubsidiTepatSasaran,6-Oct-22,1,0,1,Morgan Berita,@Morgan_berita,,1,0.5,0.5,0.5,1
"Langkah ini segera diambil 
  @erickthohir
  guna membantu masyarakat khususnya para nelayan yang terdampak dari kenaikan Bahan Bakar Minyak (BBM). Pemerintah menargetkan program tersebut bisa direalisasikan untuk para nelayan di seluruh Indonesia.
  #BangkitBersamaET",10-Oct-22,12,1,13,Retno_Wonosari,@Retnowonosari,,1,0.5,0.5,0.5,1
"Problemnya, inflasi yang dihadapi saat ini bukan bersumber dari kenaikan sisi permintaan.
  
  Melainkan inflasi dari sisi gangguan pasokan, seperti mahalnya harga bahan baku industri, kenaikan harga BBM, dan pangan.",3-Oct-22,1,0,13,tirtoid,@TirtoID,,0.5,0.5,0.5,0.5,0.5
Tokoh di Jawa Barat mendukung penyesuaian harga BBM oleh pemerintah demi kebaikan bersama,10-Oct-22,0,0,0,Aini Nurani,@AiniNurani2,,1,0.5,0.5,0.5,1
"Harga BBM naik. Harga kebutuhan lain juga ikut naik. Tarif ojol memang naik tapi ternyata sia-sia belaka. Status driver juga belum pekerja tetap. 
  
  Udah terpuruk, tambah terpuruk. #Kilas",5-Oct-22,3,0,18,Mojok.co,@mojokdotco,,0,0.5,0.5,0.5,0
"Kan lumayan banget di kondisi segala macam harga naik akibat kenaikan BBM kita malah bisa hemat lewat banyaknya diskon. 
  gue gaada malu malunya sih toh ngehemat buat kebahagian kantong sendiri",3-Oct-22,2,2,9,Mazzini,@mazzini_gsp,,1,0.5,0.5,0.5,1
"Menaker Ida Fauziyah optimistis penyaluran bantuan subsidi upah (BSU) tahun ini bisa memenuhi target dan memberi manfaat bagi pekerja.
  Diharapkan juga mampu meringankan beban para pekerja yg terdampak kenaikan harga BBM serta harga bahan pokok. 
  @jokowi
  Gaspol Pemulihan Ekonomi",3-Oct-22,2,1,7,Rani soraya,@Ranisor,,1,1,0.5,0.5,1
"Buruh Akan Kepung Istana Hari Ini, Tuntut Harga BBM dan Kenaikan Upah",12-Oct-22,0,0,0,pasangmatadotcom,@PasangMata,,0,0,0.5,0.5,0
"Ayo dukung kenaikan harga BBM
  Daerah Istimewa Yogyakarta
  Harga BBM Yogyakarta
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran",4-Oct-22,1,0,0,Barb Brown,@BarbBroBro,,1,0.5,0.5,0.5,1
"Kenaikan Harga BBM Terbukti Turunkan Daya Beli, Buruh Minta Upah Naik 13% http://dlvr.it/SZmZtr",9-Oct-22,0,0,2,Darma adi,@dharmatsurayya,,0,0,0.5,0.5,0
"Setidaknya, ada enam tuntutan buruh dalam aksi pada 12 Oktober mendatang. Mulai dari tolak kenaikan BBM, kenaikan UMK hingga pengesahan UU PRT.",9-Oct-22,4,1,27,tirtoid,@TirtoID,,0,0,0.5,0.5,0
"Patung Kuda Jakarta Dipadati Puluhan Ribu Buruh, Tuntut Tolak Kenaikan BBM hingga Minta Kenaikan Upah http://dlvr.it/SZxFc7",12-Oct-22,0,0,1,Pikiran Rakyat,@pikiran_rakyat,,0,0,0.5,0.5,0
"Patung Kuda Jakarta Dipadati Puluhan Ribu Buruh, Tolak Kenaikan Harga BBM hingga Minta Kenaikan Upah http://dlvr.it/SZxGGR",12-Oct-22,0,0,0,Pikiran Rakyat,@pikiran_rakyat,,0,0,0.5,0.5,0
tatapan yang melupakan kenaikan bbm,7-Oct-22,0,0,1,#abay,@loverxabay,,0,0.5,0.5,0.5,0
"Dampak kenaikan harga BBM mempengaruhi tarif transportasi, kemudian merembet ke kenaikan harga bahan pokok di Jawa Tengah. #TempoBisnis",5-Oct-22,5,1,9,tempo.co,@tempodotco,,0,0,0.5,0.5,0
"Ratusan Buruh Kembali Demo Tolak Kenaikan Harga BBM di Patung Kuda, Bakar Bom Asap",12-Oct-22,4,1,8,tvOnenews,@tvOneNews,,0,0.5,0.5,0.5,0
Udahh sana demo tolak kenaikan BBM aja,5-Oct-22,0,2,0,PRAJURIT MASTURBASI,@SitiJen37702179,,0,0.5,0.5,0.5,0
"Ribuan massa buruh menyuarakan enam tuntutan kepada pemerintah dalam unjuk rasa, Rabu, (12/10), di kawasan patung kuda, Jakarta. Salah satu tuntutan tersebut adalah menolak kenaikan harga BBM. 
  
  Berita selengkapnya: https://bit.ly/3EwFMJf",12-Oct-22,0,0,0,Parwoko Parwkwk,@PParwkwk,,0,0.5,0.5,0.5,0
"Planet ban sangat membantu di tengah kenaikan bbm, jadi hemat 50% deh oli juga awet",11-Oct-22,0,0,0,Helga,@aisyahwakhhh,,0.5,0.5,0.5,0.5,0.5
"Teringat obrolan saya dg sopir ojol yg mengatakan serupa. Lalu saya tanya. 'Bapak merasa berat ngga dg kenaikan BBM ini?'. Ia menjawab: 'Ya berat Pak'.
  
  #BuatKetawaAja",30-Sep-22,4,0,11,#NgajiTWIT Indonesia,@beylaspriana1,,0,0.5,0.5,0.5,0
"Dalam aksinya mereka menolak kenaikan harga BBM, menolak Omnibus Law, menuntut kenaikan upah, serta menolak PHK di tengah resesi global. #kumparanNEWS",12-Oct-22,2,1,2,kumparan,@kumparan,,0,0,0,0,0
"Pemkab Sidoarjo menyiapkan dana APBD sebesar Rp. 4,6 miliar untuk bantuan sosial. Bansos penanganan dampak inflasi imbas kenaikan harga BBM sdh diserahkan Gus Muhdlor. Ikhtiar bareng-bareng saling bantu. 
  
  Mari sama-sama menguatkan!
  @ahmadmuhdlorali
  #sidoarjo #bansos",12-Oct-22,0,0,1,Sidoarjo Sayang,@sidoarjosayang,,1,0.5,0.5,0.5,0
Mengintip Pergerakan Market Demand Pasca Kenaikan BBM https://perusahaandata.blogspot.com/2022/09/mengintip-pergerakan-market-demand.html?spref=twÃ¢â‚¬Â¦,12-Oct-22,0,0,0,duniaIndustri,@IndustriDunia,,0.5,0.5,0.5,0.5,0.5
"Penyesuaian harga BBM untuk kebaikan Indonesia 
  Sumatera Selatan Apresiasi Pemerintah 
  #BBMSubsidi
  #BBMBersubsidi
  #BantuanBBMUntukRakyat
  #BLTBBMTepatSasaran
  #SubsidiTepatSasaran
  #SemuaDemiKesejahteraan
  #CerdasPakaiBBM
  #BijakPakaiBBM",12-Oct-22,6,2,5,Saudaramerah,@saudaramerah,,1,0.5,0.5,0.5,1
